우선순위,시도명,사고위험지역명,군집라벨,위험점수,총사고건수,총사망자수,총중상자수,사고분석유형명
1순위 (사망/사고다발),서울,서울특별시 성북구내에서 2023년도에 반경50m 이내 다른사고12건 이상 지역,사고다발 (사고多+중상多),463,153,2,58,안전거리미확보 / 신호위반 / U턴중 / 기타
1순위 (사망/사고다발),경기,경기도 오산시내에서 2018년도에 반경100m 이내 다른사고6건 이상 지역,사고다발 (사고多+중상多),446,151,1,57,안전거리미확보 / 기타 / 신호위반 / 과속 / U턴중 / 중앙선침범
1순위 (사망/사고다발),서울,서울특별시 성북구내에서 2021년도에 반경50m 이내 다른사고12건 이상 지역,사고다발 (사고多+중상多),378,153,2,41,신호위반 / 안전거리미확보 / U턴중 / 기타
1순위 (사망/사고다발),강원,강원도 원주시내에서 2018년도에 반경80m 이내 다른사고10건 이상 지역,사고다발 (사고多+중상多),372,177,0,39,안전거리미확보 / U턴중 / 기타
1순위 (사망/사고다발),서울,서울특별시 성북구내에서 2022년도에 반경50m 이내 다른사고12건 이상 지역,사고다발 (사고多+중상多),362,137,0,45,U턴중 / 기타 / 신호위반 / 안전거리미확보
1순위 (사망/사고다발),경기,경기도 성남시 중원구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,사고다발 (사고多+중상多),359,154,0,41,안전거리미확보 / 신호위반 / U턴중 / 기타 / 중앙선침범
1순위 (사망/사고다발),강원,강원도 원주시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,사고다발 (사고多+중상多),340,155,0,37,U턴중 / 기타 / 안전거리미확보
1순위 (사망/사고다발),서울,서울특별시 성북구내에서 2021년도에 반경50m 이내 다른사고12건 이상 지역,사고다발 (사고多+중상多),325,90,2,43,U턴중 / 기타 / 안전거리미확보 / 신호위반 / 중앙선침범
1순위 (사망/사고다발),서울,서울특별시 성북구내에서 2020년도에 반경50m 이내 다른사고12건 이상 지역,사고다발 (사고多+중상多),306,71,2,43,U턴중 / 기타 / 안전거리미확보 / 신호위반
1순위 (사망/사고다발),경기,경기도 의정부시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,사고다발 (사고多+중상多),303,98,0,41,기타 / 과속 / U턴중 / 안전거리미확보
1순위 (사망/사고다발),부산,부산광역시 부산진구내에서 2021년도에 반경50m 이내 다른사고12건 이상 지역,사고다발 (사고多+중상多),280,85,0,39,기타 / 안전거리미확보 / 신호위반
1순위 (사망/사고다발),경기,경기도 의정부시내에서 2020년도에 반경80m 이내 다른사고10건 이상 지역,사고다발 (사고多+중상多),279,134,0,29,안전거리미확보 / 신호위반 / 기타
1순위 (사망/사고다발),서울,서울특별시 성동구내에서 2020년도에 반경50m 이내 다른사고12건 이상 지역,사고다발 (사고多+중상多),267,57,0,42,기타 / 안전거리미확보 / U턴중
1순위 (사망/사고다발),강원,강원도 원주시내에서 2020년도에 반경80m 이내 다른사고10건 이상 지역,사고다발 (사고多+중상多),266,146,0,24,신호위반 / 안전거리미확보 / U턴중 / 기타
1순위 (사망/사고다발),강원,강원도 원주시내에서 2021년도에 반경80m 이내 다른사고10건 이상 지역,사고다발 (사고多+중상多),266,126,1,26,기타 / 안전거리미확보 / U턴중 / 신호위반
1순위 (사망/사고다발),부산,부산광역시 연제구내에서 2020년도에 반경50m 이내 다른사고8건 이상 지역,사고다발 (사고多+중상多),263,78,2,33,과속 / 기타 / 안전거리미확보
1순위 (사망/사고다발),경기,경기도 구리시내에서 2018년도에 반경100m 이내 다른사고6건 이상 지역,사고다발 (사고多+중상多),262,92,2,30,안전거리미확보 / 기타 / U턴중 / 신호위반
1순위 (사망/사고다발),대구,대구광역시 달서구내에서 2019년도에 반경50m 이내 다른사고14건 이상 지역,사고다발 (사고多+중상多),261,111,0,30,기타 / 과속 / U턴중 / 안전거리미확보 / 신호위반
1순위 (사망/사고다발),경북,경상북도 영주시내에서 2019년도에 반경100m 이내 다른사고4건 이상 지역,사고다발 (사고多+중상多),242,87,2,27,기타 / 신호위반 / U턴중
1순위 (사망/사고다발),경기,경기도 군포시내에서 2018년도에 반경100m 이내 다른사고6건 이상 지역,사고다발 (사고多+중상多),240,85,0,31,기타 / 안전거리미확보
1순위 (사망/사고다발),부산,부산광역시 연제구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,사고다발 (사고多+중상多),240,90,0,30,신호위반 / 기타 / 안전거리미확보 / U턴중
1순위 (사망/사고다발),서울,서울특별시 서초구내에서 2023년도에 반경50m 이내 다른사고14건 이상 지역,사고다발 (사고多+중상多),237,67,0,34,안전거리미확보 / 기타 / 신호위반
1순위 (사망/사고다발),경기,경기도 의정부시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,사고다발 (사고多+중상多),233,103,0,26,U턴중 / 기타 / 신호위반 / 안전거리미확보
1순위 (사망/사고다발),부산,부산광역시 부산진구내에서 2021년도에 반경50m 이내 다른사고12건 이상 지역,사고다발 (사고多+중상多),233,53,0,36,안전거리미확보 / 기타
1순위 (사망/사고다발),경기,경기도 성남시 수정구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,사고다발 (사고多+중상多),226,86,2,24,안전거리미확보 / 기타 / U턴중 / 신호위반
1순위 (사망/사고다발),경북,경상북도 경주시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,사고다발 (사고多+중상多),226,61,0,33,기타 / U턴중 / 안전거리미확보 / 신호위반
1순위 (사망/사고다발),부산,부산광역시 부산진구내에서 2020년도에 반경50m 이내 다른사고12건 이상 지역,사고다발 (사고多+중상多),225,50,0,35,안전거리미확보 / 신호위반 / 기타
1순위 (사망/사고다발),서울,서울특별시 노원구내에서 2023년도에 반경50m 이내 다른사고12건 이상 지역,사고다발 (사고多+중상多),224,79,0,29,안전거리미확보 / 신호위반 / U턴중 / 기타
1순위 (사망/사고다발),경기,경기도 광주시내에서 2018년도에 반경80m 이내 다른사고10건 이상 지역,사고다발 (사고多+중상多),221,111,1,20,U턴중 / 신호위반 / 안전거리미확보 / 기타
1순위 (사망/사고다발),서울,서울특별시 서초구내에서 2020년도에 반경50m 이내 다른사고14건 이상 지역,사고다발 (사고多+중상多),220,90,0,26,안전거리미확보 / 기타 / 신호위반
1순위 (사망/사고다발),경기,경기도 과천시내에서 2017년도에 반경100m 이내 다른사고4건 이상 지역,사고다발 (사고多+중상多),216,76,0,28,신호위반 / 기타 / 안전거리미확보
1순위 (사망/사고다발),전남,전라남도 목포시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,사고다발 (사고多+중상多),216,96,0,24,과속 / U턴중 / 신호위반 / 안전거리미확보 / 기타
